age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
29,private,105598,communitycollege,10,separated,service,not-in-family,white,male,0,0,58,united-states,<=50K
36,private,155537,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
28,private,183175,communitycollege,10,separated,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
53,private,169846,highschoolgrad,9,married,white-collar,wife,white,female,0,0,40,united-states,>50K
49,self-employed,191681,communitycollege,10,married,white-collar,husband,white,male,0,0,50,united-states,>50K
25,,200681,communitycollege,10,notmarried,,own-child,white,male,0,0,40,united-states,<=50K
19,private,101509,communitycollege,10,notmarried,prof-specialty,own-child,white,male,0,0,32,united-states,<=50K
31,private,309974,bachelors,13,separated,service,own-child,black,female,0,0,40,united-states,<=50K
29,self-employed,162298,bachelors,13,married,service,husband,white,male,0,0,70,united-states,>50K
23,private,211678,communitycollege,10,notmarried,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
79,private,124744,communitycollege,10,married,prof-specialty,other-relative,white,male,0,0,20,united-states,<=50K
27,private,213921,highschoolgrad,9,notmarried,service,own-child,white,male,0,0,40,mexico,<=50K
40,private,32214,communitycollege,12,married,white-collar,husband,white,male,0,0,40,united-states,<=50K
67,,212759,dropout,6,married,,husband,white,male,0,0,2,united-states,<=50K
18,private,309634,dropout,7,notmarried,service,own-child,white,female,0,0,22,united-states,<=50K
31,government,125927,dropout,4,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
18,private,446839,highschoolgrad,9,notmarried,service,not-in-family,white,male,0,0,30,united-states,<=50K
52,private,276515,bachelors,13,married,service,husband,white,male,0,0,40,cuba,<=50K
46,private,51618,highschoolgrad,9,married,service,wife,white,female,0,0,40,united-states,<=50K
59,private,159937,highschoolgrad,9,married,service,husband,white,male,0,0,48,united-states,<=50K
44,private,343591,highschoolgrad,9,separated,blue-collar,not-in-family,white,female,14344,0,40,united-states,>50K
53,private,346253,highschoolgrad,9,separated,service,own-child,white,female,0,0,35,united-states,<=50K
49,government,268234,highschoolgrad,9,married,service,husband,white,male,0,0,40,united-states,>50K
33,private,202051,masters,14,married,prof-specialty,husband,white,male,0,0,50,united-states,<=50K
30,private,54334,dropout,5,notmarried,service,not-in-family,white,male,0,0,40,united-states,<=50K
43,government,410867,doctorate,16,notmarried,prof-specialty,not-in-family,white,female,0,0,50,united-states,>50K
57,private,249977,communitycollege,11,married,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
37,private,286730,communitycollege,10,separated,blue-collar,unmarried,white,female,0,0,40,united-states,<=50K
28,private,212563,communitycollege,10,separated,blue-collar,unmarried,black,female,0,0,25,united-states,<=50K
30,private,117747,highschoolgrad,9,married,service,wife,asian-pac-islander,female,0,1573,35,,<=50K
34,government,226296,bachelors,13,married,service,husband,white,male,0,0,40,united-states,>50K
29,government,115585,communitycollege,10,notmarried,blue-collar,not-in-family,white,male,0,0,50,united-states,<=50K
48,self-employed,191277,doctorate,16,married,prof-specialty,husband,white,male,0,1902,60,united-states,>50K
37,private,202683,communitycollege,10,married,service,husband,white,male,0,0,48,united-states,>50K
48,private,171095,communitycollege,12,separated,white-collar,unmarried,white,female,0,0,40,england,<=50K
32,government,249409,highschoolgrad,9,notmarried,service,own-child,black,male,0,0,40,united-states,<=50K
76,private,124191,masters,14,married,white-collar,husband,white,male,0,0,40,united-states,>50K
44,private,198282,bachelors,13,married,white-collar,husband,white,male,15024,0,60,united-states,>50K
47,self-employed,149116,masters,14,notmarried,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50K
20,private,188300,communitycollege,10,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
29,private,103432,highschoolgrad,9,notmarried,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
32,self-employed,317660,highschoolgrad,9,married,blue-collar,husband,white,male,7688,0,40,united-states,>50K
17,,304873,dropout,6,notmarried,,own-child,white,female,34095,0,32,united-states,<=50K
30,private,194901,dropout,7,notmarried,blue-collar,own-child,white,male,0,0,40,united-states,<=50K
31,government,189265,highschoolgrad,9,notmarried,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
42,private,124692,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
24,private,432376,bachelors,13,notmarried,service,other-relative,white,male,0,0,40,united-states,<=50K
38,private,65324,masters,15,married,prof-specialty,husband,white,male,0,0,40,united-states,>50K
56,self-employed,335605,highschoolgrad,9,married,service,husband,white,male,0,1887,50,canada,>50K
28,private,377869,communitycollege,10,married,service,wife,white,female,4064,0,25,united-states,<=50K
36,private,102864,highschoolgrad,9,notmarried,blue-collar,own-child,white,female,0,0,40,united-states,<=50K
53,private,95647,dropout,5,married,blue-collar,husband,white,male,0,0,50,united-states,<=50K
56,self-employed,303090,communitycollege,10,married,service,husband,white,male,0,0,50,united-states,<=50K
49,government,197371,communitycollege,11,married,blue-collar,husband,black,male,0,0,40,united-states,>50K
55,private,247552,communitycollege,10,married,service,husband,white,male,0,0,56,united-states,<=50K
22,private,102632,highschoolgrad,9,notmarried,blue-collar,not-in-family,white,male,0,0,41,united-states,<=50K
21,private,199915,communitycollege,10,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
40,private,118853,bachelors,13,married,white-collar,husband,white,male,0,0,60,united-states,<=50K
30,private,77143,bachelors,13,notmarried,white-collar,own-child,black,male,0,0,40,germany,<=50K
29,government,267989,bachelors,13,married,prof-specialty,husband,white,male,0,0,50,united-states,>50K
19,private,301606,communitycollege,10,notmarried,service,own-child,black,male,0,0,35,united-states,<=50K
47,private,287828,bachelors,13,married,white-collar,wife,white,female,0,0,40,united-states,>50K
20,private,111697,communitycollege,10,notmarried,white-collar,own-child,white,female,0,1719,28,united-states,<=50K
31,private,114937,communitycollege,12,married,white-collar,husband,white,male,0,0,40,united-states,>50K
35,,129305,highschoolgrad,9,married,,husband,white,male,0,0,40,united-states,<=50K
39,private,365739,communitycollege,10,separated,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
28,private,69621,communitycollege,12,notmarried,service,not-in-family,white,female,0,0,60,united-states,<=50K
24,private,43323,highschoolgrad,9,notmarried,service,not-in-family,white,female,0,1762,40,united-states,<=50K
38,self-employed,120985,highschoolgrad,9,married,blue-collar,husband,white,male,4386,0,35,united-states,<=50K
37,private,254202,bachelors,13,married,service,husband,white,male,0,0,50,united-states,<=50K
46,private,146195,communitycollege,12,separated,service,not-in-family,black,female,0,0,36,united-states,<=50K
38,government,125933,masters,14,married,prof-specialty,husband,white,male,0,0,40,iran,>50K
43,self-employed,56920,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,60,united-states,<=50K
27,private,163127,communitycollege,11,married,white-collar,wife,white,female,0,0,35,united-states,<=50K
20,private,34310,communitycollege,10,notmarried,service,own-child,white,male,0,0,20,united-states,<=50K
49,private,81973,communitycollege,10,married,blue-collar,husband,asian-pac-islander,male,0,0,40,united-states,>50K
61,self-employed,66614,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
27,private,232782,communitycollege,10,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
19,private,316868,communitycollege,10,notmarried,service,own-child,white,male,0,0,30,mexico,<=50K
45,private,196584,communitycollege,11,notmarried,prof-specialty,not-in-family,white,female,0,1564,40,united-states,>50K
70,private,105376,communitycollege,10,notmarried,service,other-relative,white,male,0,0,40,united-states,<=50K
31,private,185814,highschoolgrad,9,notmarried,blue-collar,unmarried,black,female,0,0,30,united-states,<=50K
22,private,175374,communitycollege,10,married,service,husband,white,male,0,0,24,united-states,<=50K
36,private,108293,highschoolgrad,9,widowed,service,unmarried,white,female,0,0,24,united-states,<=50K
64,private,181232,dropout,7,married,blue-collar,husband,white,male,0,2179,40,united-states,<=50K
43,,174662,communitycollege,10,separated,,not-in-family,white,female,0,0,40,united-states,<=50K
47,government,186009,communitycollege,10,separated,white-collar,unmarried,white,female,0,0,38,mexico,<=50K
34,private,198183,highschoolgrad,9,notmarried,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
33,private,163003,bachelors,13,notmarried,white-collar,other-relative,asian-pac-islander,female,0,0,40,philippines,<=50K
21,private,296158,highschoolgrad,9,notmarried,blue-collar,own-child,white,male,0,0,35,united-states,<=50K
52,,252903,highschoolgrad,9,separated,,not-in-family,white,male,0,0,45,united-states,>50K
48,private,187715,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,46,united-states,<=50K
23,private,214542,bachelors,13,notmarried,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
71,self-employed,494223,communitycollege,10,separated,service,unmarried,black,male,0,1816,2,united-states,<=50K
29,private,191535,highschoolgrad,9,separated,blue-collar,not-in-family,white,male,0,0,60,united-states,<=50K
42,private,228456,bachelors,13,separated,service,other-relative,black,male,0,0,50,united-states,<=50K
68,,38317,dropout,2,separated,,not-in-family,white,female,0,0,20,united-states,<=50K
25,private,252752,highschoolgrad,9,notmarried,service,unmarried,white,female,0,0,40,united-states,<=50K
44,self-employed,78374,masters,14,separated,white-collar,unmarried,asian-pac-islander,female,0,0,40,united-states,<=50K
28,private,88419,highschoolgrad,9,notmarried,white-collar,not-in-family,asian-pac-islander,female,0,0,40,england,<=50K
45,self-employed,201080,masters,14,married,service,husband,white,male,0,0,40,united-states,>50K
36,private,207157,communitycollege,10,separated,service,unmarried,white,female,0,0,40,mexico,<=50K
39,government,235485,communitycollege,12,notmarried,white-collar,not-in-family,white,male,0,0,42,united-states,<=50K
46,government,102628,masters,14,widowed,service,unmarried,white,male,0,0,40,united-states,<=50K
18,private,25828,dropout,7,notmarried,blue-collar,own-child,white,male,0,0,16,united-states,<=50K
66,government,54826,communitycollege,11,widowed,prof-specialty,not-in-family,white,female,0,0,20,united-states,<=50K
27,private,124953,highschoolgrad,9,notmarried,service,not-in-family,white,male,0,1980,40,united-states,<=50K
28,government,175325,highschoolgrad,9,married,service,husband,white,male,0,0,40,united-states,<=50K
51,private,96062,communitycollege,10,married,service,husband,white,male,0,1977,40,united-states,>50K
27,private,428030,bachelors,13,notmarried,blue-collar,not-in-family,white,male,0,0,50,united-states,<=50K
28,government,149624,bachelors,13,married,prof-specialty,husband,white,male,0,0,40,united-states,>50K
27,private,253814,highschoolgrad,9,notmarried,service,unmarried,white,female,0,0,25,united-states,<=50K
21,private,312956,highschoolgrad,9,notmarried,blue-collar,own-child,black,male,0,0,40,united-states,<=50K
34,private,483777,highschoolgrad,9,notmarried,blue-collar,not-in-family,black,male,0,0,40,united-states,<=50K
18,private,183930,highschoolgrad,9,notmarried,service,own-child,white,male,0,0,12,united-states,<=50K
33,private,37274,bachelors,13,married,prof-specialty,husband,white,male,0,0,65,united-states,<=50K
44,government,181344,communitycollege,10,married,white-collar,husband,black,male,0,0,38,united-states,>50K
43,private,114580,communitycollege,10,separated,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
30,private,633742,communitycollege,10,notmarried,blue-collar,not-in-family,black,male,0,0,45,united-states,<=50K
40,private,286370,dropout,4,married,blue-collar,husband,white,male,0,0,40,mexico,>50K
37,government,29054,communitycollege,10,married,white-collar,husband,white,male,0,0,42,united-states,>50K
34,private,304030,highschoolgrad,9,married,white-collar,husband,black,male,0,0,40,united-states,<=50K
41,self-employed,143129,bachelors,13,separated,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
53,,135105,bachelors,13,separated,,not-in-family,white,female,0,0,50,united-states,<=50K
31,private,99928,masters,14,married,prof-specialty,wife,white,female,0,0,50,united-states,<=50K
58,government,109567,doctorate,16,married,prof-specialty,husband,white,male,0,0,1,united-states,>50K
38,private,155222,communitycollege,10,separated,blue-collar,not-in-family,black,female,0,0,28,united-states,<=50K
24,private,159567,communitycollege,10,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
41,government,523910,bachelors,13,married,blue-collar,husband,black,male,0,0,40,united-states,<=50K
47,private,120939,communitycollege,10,married,service,husband,white,male,0,0,45,united-states,<=50K
41,government,130760,bachelors,13,married,service,husband,white,male,0,0,24,united-states,<=50K
23,private,197387,dropout,3,married,blue-collar,other-relative,white,male,0,0,40,mexico,<=50K
36,private,99374,communitycollege,10,separated,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
40,government,56795,masters,14,notmarried,white-collar,not-in-family,white,female,14084,0,55,united-states,>50K
35,private,138992,masters,14,married,prof-specialty,other-relative,white,male,7298,0,40,united-states,>50K
24,self-employed,32921,highschoolgrad,9,notmarried,service,not-in-family,white,male,0,0,40,united-states,<=50K
26,private,397317,masters,14,notmarried,prof-specialty,not-in-family,white,female,0,1876,40,united-states,<=50K
19,,170653,highschoolgrad,9,notmarried,,own-child,white,male,0,0,40,italy,<=50K
51,private,259323,bachelors,13,married,white-collar,husband,white,male,0,0,50,united-states,>50K
42,government,254817,communitycollege,10,notmarried,prof-specialty,not-in-family,white,female,0,1340,40,united-states,<=50K
37,government,48211,highschoolgrad,9,separated,white-collar,unmarried,white,female,0,0,35,united-states,<=50K
18,private,140164,dropout,7,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
36,private,128757,bachelors,13,married,service,husband,black,male,7298,0,36,united-states,>50K
35,private,36270,highschoolgrad,9,separated,blue-collar,not-in-family,white,male,0,0,60,united-states,<=50K
58,self-employed,210563,highschoolgrad,9,married,service,wife,white,female,15024,0,35,united-states,>50K
17,private,65368,dropout,7,notmarried,service,own-child,white,female,0,0,12,united-states,<=50K
44,government,160943,highschoolgrad,9,married,blue-collar,husband,black,male,0,0,40,united-states,<=50K
37,private,208358,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,40,united-states,>50K
35,private,153790,communitycollege,10,notmarried,service,not-in-family,amer-indian-eskimo,female,0,0,40,united-states,<=50K
60,private,85815,highschoolgrad,9,married,blue-collar,husband,asian-pac-islander,male,0,0,40,united-states,<=50K
54,self-employed,125417,dropout,4,married,blue-collar,husband,white,male,0,0,40,united-states,>50K
37,private,635913,bachelors,13,notmarried,white-collar,not-in-family,black,male,0,0,60,united-states,>50K
50,private,313321,communitycollege,12,separated,service,not-in-family,white,female,0,0,40,united-states,<=50K
38,private,182609,bachelors,13,married,service,husband,white,male,0,0,50,poland,<=50K
45,private,109434,bachelors,13,married,prof-specialty,husband,white,male,0,0,55,united-states,<=50K
25,private,255004,dropout,6,notmarried,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
31,private,197860,communitycollege,10,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
64,,187656,dropout,2,separated,,not-in-family,white,male,0,0,40,united-states,<=50K
90,private,51744,highschoolgrad,9,notmarried,service,not-in-family,black,male,0,2206,40,united-states,<=50K
54,private,176681,highschoolgrad,9,married,white-collar,husband,black,male,0,0,20,united-states,<=50K
53,government,140359,dropout,1,notmarried,blue-collar,not-in-family,white,female,0,0,35,united-states,<=50K
18,private,243313,highschoolgrad,9,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
60,,24215,dropout,6,separated,,not-in-family,amer-indian-eskimo,female,0,0,10,united-states,<=50K
66,self-employed,167687,highschoolgrad,9,married,blue-collar,husband,white,male,1409,0,50,united-states,<=50K
75,private,314209,communitycollege,11,widowed,white-collar,not-in-family,white,female,0,0,20,columbia,<=50K
65,private,176796,highschoolgrad,9,separated,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
35,private,538583,dropout,7,separated,blue-collar,not-in-family,black,male,3674,0,40,united-states,<=50K
41,private,130408,highschoolgrad,9,separated,service,unmarried,black,female,0,0,38,united-states,<=50K
25,private,159732,communitycollege,10,notmarried,white-collar,not-in-family,white,male,0,0,42,united-states,<=50K
33,private,110978,communitycollege,10,separated,blue-collar,other-relative,other,female,0,0,40,united-states,<=50K
28,private,76714,masters,15,notmarried,prof-specialty,not-in-family,white,male,0,0,55,united-states,>50K
59,government,268700,highschoolgrad,9,married,service,husband,white,male,0,0,40,united-states,<=50K
40,government,170525,communitycollege,10,notmarried,white-collar,not-in-family,white,female,0,0,38,united-states,<=50K
41,private,180138,bachelors,13,married,white-collar,husband,white,male,0,0,50,iran,>50K
38,government,115076,masters,14,married,white-collar,husband,white,male,0,0,70,united-states,>50K
23,private,115458,highschoolgrad,9,notmarried,blue-collar,own-child,white,male,0,0,40,united-states,<=50K
40,private,347890,bachelors,13,married,prof-specialty,husband,white,male,0,0,40,united-states,>50K
41,self-employed,196001,highschoolgrad,9,married,service,wife,white,female,0,0,20,united-states,<=50K
24,government,273905,communitycollege,12,married,service,husband,white,male,0,0,50,united-states,<=50K
20,,119156,communitycollege,10,notmarried,,own-child,white,male,0,0,20,united-states,<=50K
38,private,179488,communitycollege,10,separated,blue-collar,not-in-family,white,male,0,1741,40,united-states,<=50K
56,private,203580,highschoolgrad,9,married,white-collar,husband,white,male,0,0,35,,<=50K
58,private,236596,highschoolgrad,9,married,white-collar,husband,white,male,0,0,45,united-states,>50K
32,private,183916,highschoolgrad,9,notmarried,service,not-in-family,white,female,0,0,34,united-states,<=50K
40,private,207578,communitycollege,12,married,service,husband,white,male,0,1977,60,united-states,>50K
45,private,153141,highschoolgrad,9,married,white-collar,husband,white,male,0,0,40,,<=50K
41,private,112763,masters,15,married,prof-specialty,wife,white,female,0,0,40,united-states,>50K
42,private,390781,bachelors,13,married,white-collar,wife,black,female,0,0,40,united-states,<=50K
59,government,171328,dropout,6,widowed,service,unmarried,black,female,0,0,30,united-states,<=50K
19,government,27382,communitycollege,10,notmarried,white-collar,own-child,white,male,0,0,40,united-states,<=50K
58,private,259014,communitycollege,10,notmarried,blue-collar,not-in-family,white,male,0,0,20,united-states,<=50K
42,self-employed,303044,highschoolgrad,9,married,blue-collar,husband,asian-pac-islander,male,0,0,40,cambodia,>50K
20,private,117789,highschoolgrad,9,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
32,private,172579,highschoolgrad,9,separated,service,not-in-family,white,female,0,0,30,united-states,<=50K
45,private,187666,communitycollege,11,widowed,white-collar,not-in-family,white,female,0,0,45,united-states,<=50K
50,private,204518,dropout,4,separated,blue-collar,not-in-family,white,male,0,0,40,united-states,<=50K
36,private,150042,bachelors,13,separated,prof-specialty,own-child,white,female,0,0,40,united-states,<=50K
45,private,98092,highschoolgrad,9,married,service,husband,white,male,0,0,60,united-states,<=50K
17,private,245918,dropout,7,notmarried,service,own-child,white,male,0,0,12,united-states,<=50K
59,private,146013,communitycollege,10,married,service,husband,white,male,4064,0,40,united-states,<=50K
26,private,378322,dropout,7,married,blue-collar,husband,white,male,0,0,40,united-states,<=50K
37,self-employed,257295,communitycollege,10,married,white-collar,husband,asian-pac-islander,male,0,0,75,thailand,>50K
19,,218956,communitycollege,10,notmarried,,own-child,white,male,0,0,24,canada,<=50K
64,private,21174,highschoolgrad,9,married,white-collar,husband,white,male,0,0,40,united-states,>50K
33,private,185480,bachelors,13,notmarried,prof-specialty,not-in-family,white,female,0,0,45,united-states,<=50K
33,private,222205,highschoolgrad,9,married,blue-collar,wife,white,female,0,0,40,united-states,>50K
61,private,69867,highschoolgrad,9,married,white-collar,husband,white,male,0,0,40,united-states,>50K
17,private,191260,dropout,5,notmarried,service,own-child,white,male,1055,0,24,united-states,<=50K
50,self-employed,30653,masters,14,married,blue-collar,husband,white,male,2407,0,98,united-states,<=50K
27,government,209109,masters,14,notmarried,prof-specialty,own-child,white,male,0,0,35,united-states,<=50K
30,private,70377,highschoolgrad,9,separated,prof-specialty,own-child,white,female,0,0,40,united-states,<=50K
43,private,477983,highschoolgrad,9,married,blue-collar,husband,black,male,0,0,40,united-states,<=50K
44,private,170924,communitycollege,10,married,blue-collar,husband,white,male,7298,0,40,united-states,>50K
35,private,190174,communitycollege,10,notmarried,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
25,private,193787,communitycollege,10,notmarried,service,own-child,white,female,0,0,40,united-states,<=50K
24,private,279472,communitycollege,10,married,blue-collar,wife,white,female,7298,0,48,united-states,>50K
22,private,34918,bachelors,13,notmarried,prof-specialty,not-in-family,white,female,0,0,15,germany,<=50K
42,government,97688,communitycollege,10,married,blue-collar,husband,white,male,5178,0,40,united-states,>50K
34,private,175413,communitycollege,12,separated,service,unmarried,black,female,0,0,45,united-states,<=50K
60,private,173960,bachelors,13,separated,prof-specialty,not-in-family,white,female,0,0,42,united-states,<=50K
21,private,205759,highschoolgrad,9,notmarried,blue-collar,own-child,white,male,0,0,40,united-states,<=50K
57,government,425161,masters,14,married,service,husband,white,male,15024,0,40,united-states,>50K
41,private,220531,masters,15,married,prof-specialty,husband,white,male,0,0,60,united-states,>50K
50,private,176609,communitycollege,10,separated,service,not-in-family,white,male,0,0,45,united-states,<=50K
25,private,371987,bachelors,13,notmarried,white-collar,not-in-family,white,female,0,0,40,united-states,<=50K
50,private,193884,dropout,4,married,blue-collar,husband,white,male,0,0,40,ecuador,<=50K
36,private,200352,bachelors,13,married,prof-specialty,husband,white,male,0,0,45,united-states,<=50K
31,private,127595,highschoolgrad,9,separated,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50K
29,government,220419,bachelors,13,notmarried,service,not-in-family,white,male,0,0,56,united-states,<=50K
21,private,231931,communitycollege,10,notmarried,service,own-child,white,male,0,0,45,united-states,<=50K
27,private,248402,bachelors,13,notmarried,service,unmarried,black,female,0,0,40,united-states,<=50K
65,private,111095,highschoolgrad,9,married,blue-collar,husband,white,male,0,0,16,united-states,<=50K
37,self-employed,57424,bachelors,13,separated,service,not-in-family,white,female,0,0,60,united-states,<=50K
39,,157443,masters,14,married,,wife,asian-pac-islander,female,3464,0,40,,<=50K
24,private,278130,highschoolgrad,9,notmarried,blue-collar,own-child,white,male,0,0,40,united-states,<=50K
38,private,169469,highschoolgrad,9,separated,service,not-in-family,white,male,0,0,80,united-states,<=50K
